s,o,p,model,weight
ex:coin4644,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin4646,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin4733,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin4734,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin4737,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin4900,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin4902,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin5355,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin5365,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin5366,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin6559,ex:issuing_for34,ex:issuing_for,,1.0
ex:coin9806,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin9808,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin11498,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin11502,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin11880,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin11937,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin12284,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin12343,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin15663,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin16646,ex:issuing_for6,ex:issuing_for,,1.0
ex:coin17206,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin17818,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin17839,ex:issuing_for190,ex:issuing_for,,1.0
ex:coin3122,ex:issuing_for15,ex:issuing_for,,1.0
ex:coin3131,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin4644,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin4646,ex:issuing_for126,ex:issuing_for,,1.0
ex:coin4733,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin4734,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin4737,ex:issuing_for126,ex:issuing_for,,1.0
ex:coin4900,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin4902,ex:issuing_for126,ex:issuing_for,,1.0
ex:coin5355,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin5365,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin5366,ex:issuing_for126,ex:issuing_for,,1.0
ex:coin6559,ex:issuing_for120,ex:issuing_for,,1.0
ex:coin9806,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin9808,ex:issuing_for126,ex:issuing_for,,1.0
ex:coin11498,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin11502,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin11880,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin11937,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin12284,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin12343,ex:issuing_for126,ex:issuing_for,,1.0
ex:coin15663,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin16646,ex:issuing_for7,ex:issuing_for,,1.0
ex:coin17206,ex:issuing_for17,ex:issuing_for,,1.0
ex:coin17818,ex:issuing_for16,ex:issuing_for,,1.0
ex:coin17839,ex:issuing_for26,ex:issuing_for,,1.0
ex:coin3122,ex:uncertain,ex:issuing_for,,1.0
ex:coin3131,ex:uncertain,ex:issuing_for,,1.0
ex:coin4644,ex:uncertain,ex:issuing_for,,1.0
ex:coin4646,ex:uncertain,ex:issuing_for,,1.0
ex:coin4733,ex:uncertain,ex:issuing_for,,1.0
ex:coin4734,ex:uncertain,ex:issuing_for,,1.0
ex:coin4737,ex:uncertain,ex:issuing_for,,1.0
ex:coin4900,ex:uncertain,ex:issuing_for,,1.0
ex:coin4902,ex:uncertain,ex:issuing_for,,1.0
ex:coin5355,ex:uncertain,ex:issuing_for,,1.0
ex:coin5365,ex:uncertain,ex:issuing_for,,1.0
ex:coin5366,ex:uncertain,ex:issuing_for,,1.0
ex:coin6559,ex:uncertain,ex:issuing_for,,1.0
ex:coin9806,ex:uncertain,ex:issuing_for,,1.0
ex:coin9808,ex:uncertain,ex:issuing_for,,1.0
ex:coin11498,ex:uncertain,ex:issuing_for,,1.0
ex:coin11502,ex:uncertain,ex:issuing_for,,1.0
ex:coin11880,ex:uncertain,ex:issuing_for,,1.0
ex:coin11937,ex:uncertain,ex:issuing_for,,1.0
ex:coin12284,ex:uncertain,ex:issuing_for,,1.0
ex:coin12343,ex:uncertain,ex:issuing_for,,1.0
ex:coin15663,ex:uncertain,ex:issuing_for,,1.0
ex:coin16646,ex:uncertain,ex:issuing_for,,1.0
ex:coin17206,ex:uncertain,ex:issuing_for,,1.0
ex:coin17818,ex:uncertain,ex:issuing_for,,1.0
ex:coin17839,ex:uncertain,ex:issuing_for,,1.0
ex:coin3122,ex:issuer83,ex:issuer,,1.0
ex:coin3122,ex:issuer88,ex:issuer,,1.0
ex:coin3131,ex:issuer83,ex:issuer,,1.0
ex:coin3131,ex:issuer88,ex:issuer,,1.0
ex:coin4644,ex:issuer83,ex:issuer,,1.0
ex:coin4646,ex:issuer88,ex:issuer,,1.0
ex:coin4733,ex:issuer83,ex:issuer,,1.0
ex:coin4733,ex:issuer88,ex:issuer,,1.0
ex:coin4734,ex:issuer83,ex:issuer,,1.0
ex:coin4734,ex:issuer88,ex:issuer,,1.0
ex:coin4737,ex:issuer83,ex:issuer,,1.0
ex:coin4737,ex:issuer88,ex:issuer,,1.0
ex:coin4900,ex:issuer83,ex:issuer,,1.0
ex:coin4902,ex:issuer88,ex:issuer,,1.0
ex:coin5355,ex:issuer83,ex:issuer,,1.0
ex:coin5355,ex:issuer88,ex:issuer,,1.0
ex:coin5365,ex:issuer83,ex:issuer,,1.0
ex:coin5366,ex:issuer83,ex:issuer,,1.0
