s,p,o
ex:coin_17652,nmo:hasIssuer,ex:issuer_154
ex:coin_17652,nmo:hasPortrait,ex:person_41
ex:coin_17671,nmo:hasIssuer,ex:issuer_154
ex:coin_17671,nmo:hasIssuer,ex:issuer_131
ex:coin_17671,nmo:hasPortrait,ex:person_40
ex:coin_17672,nmo:hasIssuer,ex:issuer_131
ex:coin_17672,nmo:hasIssuer,ex:issuer_154
ex:coin_17672,nmo:hasPortrait,ex:person_41
ex:coin_17673,nmo:hasIssuer,ex:issuer_154
ex:coin_17673,nmo:hasIssuer,ex:issuer_131
ex:coin_17673,nmo:hasPortrait,ex:person_41
ex:coin_17674,nmo:hasIssuer,ex:issuer_131
ex:coin_17674,nmo:hasIssuer,ex:issuer_154
ex:coin_17674,nmo:hasPortrait,ex:person_41
ex:coin_17675,nmo:hasIssuer,ex:issuer_154
ex:coin_17675,nmo:hasIssuer,ex:issuer_131
ex:coin_17675,nmo:hasPortrait,ex:person_41
ex:coin_17676,nmo:hasIssuer,ex:issuer_131
ex:coin_17676,nmo:hasIssuer,ex:issuer_154
ex:coin_17676,nmo:hasPortrait,ex:person_41
ex:coin_17677,nmo:hasIssuer,ex:issuer_154
ex:coin_17677,nmo:hasIssuer,ex:issuer_131
ex:coin_17677,nmo:hasPortrait,ex:person_41
ex:coin_17678,nmo:hasIssuer,ex:issuer_131
ex:coin_17678,nmo:hasIssuer,ex:issuer_154
ex:coin_17678,nmo:hasPortrait,ex:person_40
ex:coin_17719,nmo:hasIssuer,ex:issuer_131
ex:coin_17719,nmo:hasIssuer,ex:issuer_154
ex:coin_17719,nmo:hasPortrait,ex:person_40
ex:coin_17720,nmo:hasIssuer,ex:issuer_154
ex:coin_17720,nmo:hasIssuer,ex:issuer_131
ex:coin_17720,nmo:hasPortrait,ex:person_40
ex:coin_17734,nmo:hasIssuer,ex:issuer_154
ex:coin_17734,nmo:hasIssuer,ex:issuer_131
ex:coin_17734,nmo:hasPortrait,ex:person_40
ex:coin_17746,nmo:hasIssuer,ex:issuer_131
ex:coin_17746,nmo:hasIssuer,ex:issuer_154
ex:coin_17746,nmo:hasPortrait,ex:person_41
ex:coin_18001,nmo:hasIssuer,ex:issuer_154
ex:coin_18001,nmo:hasIssuer,ex:issuer_131
ex:coin_18001,nmo:hasPortrait,ex:person_41
ex:coin_28371,nmo:hasIssuer,ex:issuer_131
ex:coin_28371,nmo:hasIssuer,ex:issuer_154
ex:coin_28371,nmo:hasPortrait,ex:person_41
ex:coin_28444,nmo:hasIssuer,ex:issuer_154
ex:coin_28444,nmo:hasIssuer,ex:issuer_131
ex:coin_28444,nmo:hasPortrait,ex:person_40
ex:coin_28485,nmo:hasIssuer,ex:issuer_131
ex:coin_28485,nmo:hasIssuer,ex:issuer_154
ex:coin_28485,nmo:hasPortrait,ex:person_40
ex:coin_28495,nmo:hasIssuer,ex:issuer_131
ex:coin_28495,nmo:hasIssuer,ex:issuer_154
ex:coin_28495,nmo:hasPortrait,ex:person_41
ex:coin_28496,nmo:hasIssuer,ex:issuer_154
ex:coin_28496,nmo:hasIssuer,ex:issuer_131
ex:coin_28496,nmo:hasPortrait,ex:person_41
ex:coin_28859,nmo:hasIssuer,ex:issuer_154
ex:coin_28859,nmo:hasIssuer,ex:issuer_131
ex:coin_28859,nmo:hasPortrait,ex:person_40
