s,o,p
ex:coin_30184,ex:issuer_131,nmo:hasIssuer
ex:coin_30184,ex:issuer_150,nmo:hasIssuer
ex:coin_30184,ex:person_33,nmo:hasPortrait
ex:coin_30184,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_150,ex:person_33,ex:inPossibleIssuersOf
ex:coin_30215,ex:issuer_131,nmo:hasIssuer
ex:coin_30215,ex:issuer_151,nmo:hasIssuer
ex:coin_30215,ex:person_34,nmo:hasPortrait
ex:coin_30215,ex:uncertain,nmo:hasPortrait
ex:person_34,ex:issuer_151,ex:hasPossibleIssuers
ex:person_34,ex:issuer_161,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_30226,ex:issuer_131,nmo:hasIssuer
ex:coin_30226,ex:issuer_154,nmo:hasIssuer
ex:coin_30226,ex:person_38,nmo:hasPortrait
ex:coin_30226,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30295,ex:issuer_154,nmo:hasIssuer
ex:coin_30295,ex:issuer_131,nmo:hasIssuer
ex:coin_30295,ex:person_38,nmo:hasPortrait
ex:coin_30295,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30296,ex:issuer_131,nmo:hasIssuer
ex:coin_30296,ex:issuer_154,nmo:hasIssuer
ex:coin_30296,ex:person_38,nmo:hasPortrait
ex:coin_30296,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30298,ex:issuer_154,nmo:hasIssuer
ex:coin_30298,ex:issuer_131,nmo:hasIssuer
ex:coin_30298,ex:person_38,nmo:hasPortrait
ex:coin_30298,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30321,ex:issuer_131,nmo:hasIssuer
ex:coin_30321,ex:issuer_154,nmo:hasIssuer
ex:coin_30321,ex:person_38,nmo:hasPortrait
ex:coin_30321,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30323,ex:issuer_154,nmo:hasIssuer
ex:coin_30323,ex:issuer_131,nmo:hasIssuer
ex:coin_30323,ex:person_38,nmo:hasPortrait
ex:coin_30323,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30385,ex:issuer_154,nmo:hasIssuer
ex:coin_30385,ex:issuer_131,nmo:hasIssuer
ex:coin_30385,ex:person_38,nmo:hasPortrait
ex:coin_30385,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30394,ex:issuer_131,nmo:hasIssuer
ex:coin_30394,ex:issuer_154,nmo:hasIssuer
ex:coin_30394,ex:person_38,nmo:hasPortrait
ex:coin_30394,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30565,ex:issuer_154,nmo:hasIssuer
ex:coin_30565,ex:issuer_131,nmo:hasIssuer
ex:coin_30565,ex:person_38,nmo:hasPortrait
ex:coin_30565,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30591,ex:issuer_131,nmo:hasIssuer
ex:coin_30591,ex:issuer_154,nmo:hasIssuer
ex:coin_30591,ex:person_38,nmo:hasPortrait
ex:coin_30591,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30597,ex:issuer_154,nmo:hasIssuer
ex:coin_30597,ex:issuer_131,nmo:hasIssuer
ex:coin_30597,ex:person_38,nmo:hasPortrait
ex:coin_30597,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30627,ex:issuer_131,nmo:hasIssuer
ex:coin_30627,ex:issuer_154,nmo:hasIssuer
ex:coin_30627,ex:person_38,nmo:hasPortrait
ex:coin_30627,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30631,ex:issuer_154,nmo:hasIssuer
ex:coin_30631,ex:issuer_131,nmo:hasIssuer
ex:coin_30631,ex:person_38,nmo:hasPortrait
ex:coin_30631,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30675,ex:issuer_131,nmo:hasIssuer
ex:coin_30675,ex:issuer_154,nmo:hasIssuer
ex:coin_30675,ex:person_38,nmo:hasPortrait
ex:coin_30675,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30714,ex:issuer_131,nmo:hasIssuer
ex:coin_30714,ex:issuer_154,nmo:hasIssuer
ex:coin_30714,ex:person_38,nmo:hasPortrait
ex:coin_30714,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30724,ex:issuer_154,nmo:hasIssuer
ex:coin_30724,ex:issuer_131,nmo:hasIssuer
ex:coin_30724,ex:person_38,nmo:hasPortrait
ex:coin_30724,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30725,ex:issuer_131,nmo:hasIssuer
ex:coin_30725,ex:issuer_154,nmo:hasIssuer
ex:coin_30725,ex:person_38,nmo:hasPortrait
ex:coin_30725,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30771,ex:issuer_154,nmo:hasIssuer
ex:coin_30771,ex:issuer_131,nmo:hasIssuer
ex:coin_30771,ex:person_38,nmo:hasPortrait
ex:coin_30771,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30792,ex:issuer_154,nmo:hasIssuer
ex:coin_30792,ex:issuer_131,nmo:hasIssuer
