s,p,o
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_31273,nmo:hasIssuer,ex:issuer_88
ex:coin_31273,nmo:hasIssuer,ex:uncertain
ex:coin_31273,nmo:hasPortrait,ex:person_19
ex:coin_31273,nmo:hasPortrait,ex:uncertain
ex:person_19,ex:hasPossibleIssuers,ex:issuer_88
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_19
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_118
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_126
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_135
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_140
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_141
ex:coin_6137,nmo:hasIssuer,ex:issuer_94
ex:coin_6137,nmo:hasIssuer,ex:uncertain
ex:coin_6137,nmo:hasPortrait,ex:person_21
ex:coin_6137,nmo:hasPortrait,ex:uncertain
ex:person_21,ex:hasPossibleIssuers,ex:issuer_94
ex:issuer_94,ex:inPossibleIssuersOf,ex:person_21
ex:issuer_94,ex:inPossibleIssuersOf,ex:person_138
ex:issuer_94,ex:inPossibleIssuersOf,ex:person_141
ex:coin_18639,nmo:hasIssuer,ex:issuer_97
ex:coin_18639,nmo:hasIssuer,ex:uncertain
ex:coin_18639,nmo:hasPortrait,ex:person_22
ex:coin_18639,nmo:hasPortrait,ex:uncertain
ex:person_22,ex:hasPossibleIssuers,ex:issuer_100
ex:issuer_97,ex:inPossibleIssuersOf,ex:person_148
ex:coin_16709,nmo:hasIssuer,ex:issuer_107
ex:coin_16709,nmo:hasIssuer,ex:uncertain
ex:coin_16709,nmo:hasPortrait,ex:person_26
ex:coin_16709,nmo:hasPortrait,ex:uncertain
ex:person_26,ex:hasPossibleIssuers,ex:issuer_106
ex:person_26,ex:hasPossibleIssuers,ex:issuer_107
ex:person_26,ex:hasPossibleIssuers,ex:issuer_269
ex:person_26,ex:hasPossibleIssuers,ex:issuer_288
ex:issuer_107,ex:inPossibleIssuersOf,ex:person_26
ex:issuer_107,ex:inPossibleIssuersOf,ex:person_163
ex:issuer_107,ex:inPossibleIssuersOf,ex:person_187
ex:coin_28053,nmo:hasIssuer,ex:issuer_111
ex:coin_28053,nmo:hasIssuer,ex:uncertain
ex:coin_28053,nmo:hasPortrait,ex:person_193
ex:coin_28053,nmo:hasPortrait,ex:uncertain
ex:person_193,ex:hasPossibleIssuers,ex:issuer_111
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_44
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_45
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_131
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_192
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_193
ex:coin_31176,nmo:hasIssuer,ex:issuer_111
ex:coin_31176,nmo:hasIssuer,ex:uncertain
ex:coin_31176,nmo:hasPortrait,ex:person_192
ex:coin_31176,nmo:hasPortrait,ex:uncertain
ex:person_192,ex:hasPossibleIssuers,ex:issuer_111
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_44
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_45
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_131
ex:issuer_111,ex:inPossibleIssuersOf,ex:person_192
